z,n,bindingEnergy(keV)
45,62,8554.104
46,62,8567.0241
47,62,8547.9155
48,62,8551.2755
49,62,8522.2824
50,62,8513.6189
51,62,8465.2762
52,62,8432.7885
53,62,8374.5651
54,62,8336.8365
55,62,8271.8652
56,62,8227
57,62,8159
58,62,8108
59,62,8033
35,63,8078
36,63,8175
37,63,8244.5085
38,63,8324.7411
39,63,8371.9172
40,63,8425.8337
41,63,8453.3832
42,63,8494.863
43,63,8506.557
44,63,8533.3676
45,63,8532.6657
46,63,8544.8825
47,63,8532.1089
48,63,8537.0801
49,63,8514.6674
50,63,8506.8117
51,63,8462.5191
52,63,8431.1504
53,63,8381.2858
54,63,8344.2976
55,63,8286.4053
56,63,8245.9287
57,63,8179
58,63,8132
59,63,8060
36,64,8134
37,64,8206.1753
38,64,8291.2213
39,64,8342.6336
40,64,8402.3159
41,64,8431.6925
42,64,8479.5202
43,64,8492.8979
44,64,8527.2267
45,64,8528.1404
46,64,8547.163
47,64,8534.7878
48,64,8544.7306
49,64,8522.9297
50,64,8522.5671
51,64,8480.9156
52,64,8455.6435
53,64,8404.4307
54,64,8374.9819
55,64,8317.3347
56,64,8280.2949
57,64,8217
58,64,8174
59,64,8104
60,64,8054
36,65,8075
37,65,8152.7443
38,65,8242
39,65,8298
40,65,8358.598
41,65,8393.2657
42,65,8442.219
43,65,8462.8172
44,65,8496.228
45,65,8504.2551
46,65,8521.7498
47,65,8516.0807
48,65,8526.9874
49,65,8511.9742
50,65,8514.0702
51,65,8475.8208
52,65,8450.9203
53,65,8406.1203
54,65,8378.442
55,65,8328.4811
56,65,8293.9083
57,65,8235
58,65,8193
59,65,8128
60,65,8080
61,65,8008
37,66,8112
38,66,8206
39,66,8262
40,66,8330
41,66,8367.0898
42,66,8422.1581
43,66,8444.1796
44,66,8486.3123
45,66,8495.6267
46,66,8520.7205
47,66,8516.066
48,66,8531.5135
49,66,8516.5472
50,66,8523.1166
51,66,8487.8981
52,66,8469.697
53,66,8426.8924
54,66,8404.0322
55,66,8352.9152
56,66,8323.7567
57,66,8267
58,66,8229
59,66,8167
60,66,8122
61,66,8052
62,66,7998
37,67,8057
38,67,8152
39,67,8215
40,67,8284
41,67,8325.6604
42,67,8381.4163
43,67,8411.2603
44,67,8452.9582
45,67,8468.8666
46,67,8492.5795
47,67,8493.7786
48,67,8510.7252
49,67,8501.6177
50,67,8509.612
51,67,8478.9156
52,67,8462.0785
53,67,8423.6745
54,67,8403.8326
55,67,8359.1515
56,67,8330.2086
57,67,8278.2926
58,67,8242
59,67,8184
60,67,8142
61,67,8075
62,67,8023
63,67,7950
38,68,8114
39,68,8178
40,68,8253
41,68,8297.1307
42,68,8359.293
43,68,8390.0906
44,68,8439.2431
45,68,8456.8165
46,68,8488.0056
47,68,8490.5553
48,68,8512.3511
49,68,8503.8653
50,68,8516.5341
51,68,8487.9218
52,68,8476.9857
53,68,8441.4111
54,68,8424.6644
55,68,8380.3796
56,68,8355.8209
57,68,8304.6438
58,68,8273.2581
59,68,8216
60,68,8177
61,68,8114
62,68,8065
63,68,7996
38,69,8057
39,69,8129
40,69,8204
41,69,8255.2607
42,69,8315.2932
43,69,8353.6217
44,69,8402.6857
45,69,8426.6221
46,69,8457.7342
47,69,8465.9073
48,69,8488.974
49,69,8485.667
50,69,8499.4494
51,69,8475.63
52,69,8466.8641
53,69,8437.0139
54,69,8420.9239
55,69,8383.5114
56,69,8358.1784
57,69,8312.4268
58,69,8280.7922
59,69,8228.9141
60,69,8191
61,69,8131
62,69,8085
63,69,8018
64,69,7966
39,70,8089
40,70,8171
41,70,8223
42,70,8291
43,70,8329.4652
44,70,8385.3351
45,70,8410.6538
46,70,8449.2755
47,70,8459.4515
48,70,8487.835
49,70,8486.1387
50,70,8504.488
51,70,8482.0574
52,70,8478.1315
53,70,8449.1896
54,70,8437.6138
55,70,8399.8033
56,70,8379.7187
57,70,8333.5412
58,70,8306.9259
59,70,8254.3808
60,70,8222.5136
61,70,8163
62,70,8122
63,70,8056
64,70,8008
65,70,7939
40,71,8118
41,71,8178
42,71,8246
43,71,8290.2599
44,71,8346.814
45,71,8377.6123
46,71,8416.9243
47,71,8433.89
48,71,8461.4381
49,71,8466.2575
50,71,8485.1964
51,71,8468.3222
52,71,8465.537
53,71,8441.4807
54,71,8430.939
55,71,8399.2673
56,71,8378.456
57,71,8337.1904
58,71,8310.9411
59,71,8263.7565
60,71,8230.3045
61,71,8177
62,71,8137
63,71,8075
64,71,8028
65,71,7961
40,72,8081
41,72,8143
42,72,8219
43,72,8264
44,72,8326.884
45,72,8359.2766
46,72,8405.2197
47,72,8423.2126
48,72,8458.024
