z,n,bindingEnergy(keV),xx,yy,zz
20,18,8240.0434,18,20,0.06305174832315286
21,18,8013.4575,18,21,0.08881608627064774
22,18,7865.8632,18,22,0.10559854901137422
23,18,7625.0,18,23,0.1329863118153044
24,18,7456.0,18,24,0.15220274634687336
25,18,7213.0,18,25,0.1798334776555791
8,19,6185.0,19,8,0.2967239788298568
9,19,6626.8567,19,9,0.2464819057654477
10,19,7167.0673,19,10,0.18505633400118982
11,19,7501.9685,19,11,0.14697581930093007
12,19,7869.1886,19,12,0.10522042870728376
13,19,8100.3449,19,13,0.07893640559775883
14,19,8361.0596,19,14,0.04929139397664839
15,19,8448.1856,19,15,0.03938458288198876
16,19,8537.8511,19,16,0.029189013589146162
17,19,8521.9322,19,17,0.030999099385978224
18,19,8527.1406,19,18,0.030406869340923404
19,19,8438.0593,19,19,0.04053601117191197
20,19,8369.6711,19,20,0.048312208615887475
21,19,8173.6697,19,21,0.07059888359337774
22,19,8034.3889,19,22,0.08643604557387807
23,19,7824.0,19,23,0.11035867588759896
24,19,7680.0,19,24,0.12673244258905414
25,19,7457.0,19,25,0.15208903963366882
26,19,7299.0,19,26,0.17005470031998782
8,20,5988.0,20,8,0.31912420133115316
9,20,6444.0314,20,9,0.2672703697190837
10,20,7034.5317,20,10,0.20012652145978282
11,20,7398.6778,20,11,0.15872066530252726
12,20,7803.8411,20,12,0.11265087814841812
13,20,8020.6172,20,13,0.08800198031611728
14,20,8337.1659,20,14,0.052008268069943964
15,20,8446.2496,20,15,0.03960471907875285
16,20,8575.39,20,16,0.024920588652831976
17,20,8570.2816,20,17,0.025501448026565954
18,20,8614.2807,20,18,0.02049845498160774
19,20,8557.0258,20,19,0.02700872147546296
20,20,8551.3046,20,20,0.027659260323048884
21,20,8369.1979,20,21,0.04836601463257595
22,20,8259.24,20,22,0.06086896603245051
23,20,8069.5129,20,23,0.0824422109792815
24,20,7949.6265,20,24,0.09607409948120749
